CAKE PLANT
DAILY PRODUCTION SUMMARY REPORT
FOR BATCH: 4;  ALL CATEGORIES
Report Generated : 12-Sep 2023  01:11:59

 ,FQTY,AQTY,DQTY,%,ALLO,
PRODUCTS,14-Sep,14-Sep,14-Sep,14-Sep,14-Sep,

CATHEDRAL WINDOW,5,5, , , ,
CATHEDRAL WINDOW SINGLES,12,11, , , ,
GELATIN/SALAD TOTAL,17,16,0,-0.06,0,

BLACK FOREST CAKE,93,77, , , ,
CHOCOLATE CHERRY TORTE,77,57, , , ,
CLASSIC SANSRIVAL,22,15, , , ,
CREMA DE FRUTA BIG, ,1, , , ,
CREMA DE FRUTA SMALL,20,16, , , ,
CHOCOLATE CARAMEL DECADENCE CAKE,20,7, , , ,
DOUBLE DUTCH CAKE 2021,27,15, , , ,
ROYAL FUDGE CAKE WITH TOBLERONE,51,51, , , ,
CHOCOLATE MOUSSE CAKE 2020,46,34, , , ,
ALL ABOUT CHOCOLATE CAKE 2020,34,21, , , ,
CHOCOLATE MOUSSE CAKE 8X12,1,4, , , ,
PREMIUM CAKES TOTAL,391,298,0,-0.24,0,

TRIPLE DELIGHT 9 ROUND,38,40, , , ,
TRIPLE DELIGHT 8X12,26,32, , , ,
MOCHA 9 ROUND WITH FILLING,132,135, , , ,
MOCHA 8X12 WITH FILLING,125,87, , , ,
MOCHA 12X12 WITH FILLING,25,10, , , ,
CHOCO 9 ROUND WITH FILLING,156,161, , , ,
CHOCO 8X12 WITH FILLING,146,112, , , ,
CHOCO 12X12 WITH FILLING,27,17, , , ,
CHOCO 12X16 W/ FILLING,1, , , , ,
UBE GREETING CAKE 8X12,16,6, , , ,
UBE GREETING CAKE 9RD,30,28, , , ,
STRAWBERRY GREETING CAKE 8X12,15,7, , , ,
STRAWBERRY GREETING CAKE 9 ROUND,20,20, , , ,
VANILLA - MARBLE GREETING CAKE 9 ROUND,116,127, , , ,
VANILLA - MARBLE GREETING CAKE 8X12,95,68, , , ,
LUSCIOUS CARAMEL 9 ROUND,95,86, , , ,
COFFEE CARAMEL CAKE,30,33, , , ,
LUSCIOUS CARAMEL 8X12,50,44, , , ,
RUSH - W/ ICING TOTAL,1143,1013,0,-0.11,0,

CLASSIC MOCHA WHOLE ROLL,148,127, , , ,
CLASSIC MOCHA HALF ROLL,26,19, , , ,
DULCE DE LECHE WHOLE ROLL,177,205, , , ,
DULCE DE LECHE HALF ROLL,29,25, , , ,
CHOCOLATE OVERLOAD WHOLE ROLL,185,202, , , ,
CHOCOLATE OVERLOAD HALF ROLL,30,37, , , ,
ROLLS TOTAL,595,615,0,0.03,0,

BRAZO DE MERCEDES WHOLE ROLL 2020,42,29, , , ,
BRAZO DE MERCEDES HALF ROLL 2020,19,17, , , ,
CHEESY TAISAN,63,33, , , ,
EGGPIE,112,95, , , ,
FLUFFY MAMON,848,840, , , ,
SPECIAL FLUFFY MAMON,128,82, , , ,
CHIFFON CAKE SLICE,507,457, , , ,
DOUBLE DUTCH CAKE SLICE,487,458, , , ,
MOCHA MARBLE CAKE SLICE,484,466, , , ,
TRAY PRODUCTS TOTAL,2690,2477,0,-0.08,0,

GRAND TOTAL,4836,4419,0,-0.09,0,
